track_id,track_name,artist,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness,popularity
0R7DSnSibvuE4PEHqUayqf,Es un Secreto,Plan B,latin,0.836,0.777,0.504,0.0951,0.0439,1.68e-06,0.0561,94.977,-5.376,73
5hcisvFMidkMJlElTO9Qmw,Sensualidad,Bad Bunny,latin,0.807,0.6809999999999999,0.6759999999999999,0.423,0.0983,0.0,0.0962,140.006,-6.268,73
5poUJOhLyalGkUedn3ggeX,Bandido,Anuel AA,latin,0.789,0.809,0.411,0.374,0.0615,0.0,0.202,95.935,-3.417,73
4mbb7hmfDR6M9cQaLdYSFd,Ferrari,Anuel AA,latin,0.8420000000000001,0.732,0.629,0.575,0.149,0.0,0.176,140.07399999999998,-4.811,73
7rwX0O3RlxqqIjQM8evm5E,Solita,Ozuna,latin,0.807,0.633,0.325,0.0564,0.0929,0.0,0.107,138.03799999999998,-6.016,73
4fSar1liXyxCK3lOcWHUE1,Creo en Mi,Natalia Jiménez,latin,0.496,0.57,0.239,0.291,0.0279,0.0,0.105,79.845,-6.053,73
37zdqI4r1gswIzczSBkRon,Aventura,Lunay,latin,0.7290000000000001,0.726,0.8759999999999999,0.223,0.0422,0.0,0.101,92.025,-3.208,73
2CoMYp2uIKsT09nreEZnZn,BENDICIONES,Bad Bunny,latin,0.828,0.581,0.843,0.0378,0.0725,0.0,0.103,143.995,-9.909,73
5eEQCfq7MXQr6aHLNRUZLs,Keii,Anuel AA,latin,0.708,0.797,0.51,0.4,0.0391,0.0,0.096,88.015,-3.095,73
6Y4PDQv4XjYjHLeLmvyOt0,Si Te Vas,Sech,latin,0.73,0.644,0.5539999999999999,0.0933,0.132,4.56e-06,0.143,174.101,-4.124,73
5p3JJehpKHjr9pJT5eD2Lz,Que Se Joda,Anuel AA,latin,0.624,0.888,0.8240000000000001,0.238,0.099,0.0,0.317,180.088,-2.13,73
6z8sQFj47s9ZG0Ls1k9Gct,Dime tú,Danny Ocean,latin,0.831,0.648,0.171,0.581,0.0438,0.0,0.114,117.98,-8.433,73
4fFgpzgSkmn3wajioLBPOr,Mis Ojos Lloran Por Ti,Big Boy,latin,0.794,0.831,0.328,0.0135,0.331,1.12e-06,0.11,172.407,-9.235,73
1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita - Remix,Dalex,latin,0.795,0.715,0.758,0.141,0.0838,2.12e-06,0.179,165.94099999999997,-3.582,73
